Title(s)	Developer	Publisher	NA	PAL	JP
FIFA Soccer '96	Probe Entertainment Limited	Electronic Arts Victor	1996		
FIFA Soccer '97	EA Canada	EA Sports	1997		
Fighter's History Dynamite	Rutubo Games	Sega			1997
Fighters Megamix	Sega	Sega	1997		
Fighting Vipers	Sega AM2	Sega	1996		
Final Fight Revenge	Capcom	Capcom			2000
Fire Pro Wrestling S: 6 Men Scramble	Human Entertainment	Human Entertainment			1996
Formula Karts Special Edition	Manic Media	Sega		1997	
Frankenstein: Through the Eyes of the Monster	Amazing Media	Interplay Entertainment		1995	
Frank Thomas' Big Hurt Baseball	Iguana Entertainment	Acclaim	1996		
Free Talk Studio: Mari no Kimama na O-Shaberi	Media Entertainment	Media Entertainment			1997
Fushigi no Kuni no Angelique	Koei	Koei			1997
Funky Fantasy	Yoshimoto Kogyo	Tose Software	Unreleased	Unreleased	1996
Firestorm: Thunderhawk 2	Core Design	Core Design|U.S. Gold (US)|Victor Entertainment (JP)	1996	1995	1996
Gakko no Kaidan					
Galaxy Fight	Santaclaus	SunSoft	1996		
Youen Denshi Mahjong Yuugi Gal Jan	Warashi	Warashi			1996
Game Tengoku	Jaleco	Jaleco			1997
Gekirindan Time Travel Shooting	Taito Virgin Interactive	Virgin Interactive			1997
Gex	Beam Software	Crystal Dynamics	1996		
Ghen War	Jumpin' Jack Software	Sega	1995		
Godzilla Rettoushinkan	Scarab	Sega			1995
Gokujou Parodius: Deluxe Pack					
Golden Axe: The Duel	Sega	Sega	1995		
Gotha: Ismailia Seneki	Micronet	Sega			1995
Gotha II: Tenkuu no Kishi|Heir of Zendor (US)	Micronet	Koei	1996		1996
Soukuu no Tsubasa: Gotha World	Micronet	Micronet			1997
Gouketsuji Ichizoku 3: Groove on Fight	Atlus	Atlus			1997
Grand Slam	Burst Studios	Virgin Interactive	1996		
Grandia	Game Arts	ESP Software			1997
Grandia: Digital Museum	Game Arts	Game Arts|ESP			1998
Gradius Deluxe Pack	Konami	Konami			1996
Grid Runner	Radical Entertainment	Virgin Interactive	1996		
Guardian Force	Success	Success	Unreleased	Unreleased	1998
Guardian Heroes	Treasure	Sega	1996		
Gunbird	Psikyo	Atlus			1995
Gungriffon	GameArts	Sega	1996	1996	1996
Gungriffon II	GameArts		Unreleased	Unreleased	1998
Hang-On GP '95 (JP)|Hang-On GP (NA)|Hang-On GP '96 (EU)	Genki	Sega	1996	1996	1995
Hardcore 4X4	Gremlin Interactive	ASC Games	1996	1997	
Harukaze Sentai V-Force	Ving	Ving			1997
Herc's Adventures	LucasArts	LucasArts	1997		
Hexen	Atod AB	GT Interactive	1997		
Hi-Octane	Bullfrog	Electronic Arts	1995		
High Velocity: Mountain Racing Challenge	Cave	Atlus	1996		
Highway 2000	Genki	Natsume	1996		
High School Terra Story	Uran	KID	Unreleased	Unreleased	1998
Hissatsu!					
Hop Step Idol					
The Horde	Silicon Knights	Crystal Dynamics	1997		
The House of the Dead	Tantalus Interactive	Sega	1998		
Hyper Duel	Technosoft	Technosoft			1996
Impact Racing	Funcom	JVC Musical Industries Europe	1996		
The Incredible Hulk: The Pantheon Saga	Attention To Detail	Eidos Interactive	1997		
Independence Day	Radical Entertainment	Fox Interactive	1997		
In the Hunt	Irem	Kokopeli			1995
International Victory Goal|J. League Victory Goal JP	Sega	Sega	1995		1995
Iron Man and X-O Manowar in Heavy Metal	Realsports|Realtime Associates	Acclaim	1996		
Isto é Zico: Jiko no Kangaeru Soccer (interactive movie)		Mizuki			1996
Jewels of the Oracle					
Jikkyou Oshaberi Parodius	Konami	Konami	Unreleased	Unreleased	1996
Johnny Bazookatone	Arc Developments	U.S. Gold	1996		
Jonah Lomu Rugby	Codemasters	Rage Software		1997	
Jurassic Park: The Lost World	Appaloosa Interactive	Sega	1997		
Keio Flying Squadron 2	Victor Entertainment	Victor Entertainment		1996	
Kingdom Grand Prix	Raizing	Gaga Communications	Unreleased	Unreleased	1996
King of Fighters '95, The	SNK	SNK	Unreleased	1997	1996
King of Fighters '96, The	SNK	SNK	Unreleased	Unreleased	1996
King of Fighters '97, The	SNK	SNK	Unreleased	Unreleased	1998
Krazy Ivan					
Kuuso Kagaku Sekai Gulliver Boy					
Keriotosse!					
Last Bronx	Sega	Sega	1997		
Langrisser I & II					
Langrisser III					
Langrisser IV					
Langrisser V: The End of Legend					
Langrisser Tribute					
Layer Section|(RayForce Arcade)|(Galactic Attack NA/EU)			1995	1995	1995
Layer Section II|(RayStorm Arcade)	Taito	MediaQuest			1997
