Title	Developer(s)	Publisher(s)	Japan	Europe	North America	Notes
Shanghai: True Valor	Sunsoft	Sunsoft	Unreleased	Unreleased	1999-05-31	
Shaolin			Unreleased	Unreleased	Unreleased	
Sheep	Minds-Eye Productions	Empire Interactive PAL,NA|Syscom JP	2001-06-14	2000-11-17	2000-11-06	
Sheep, Dog, 'n' Wolf	Infogrames	Infogrames	Unreleased	2001-09-14	2001-09-27	
Shellshock	U.S. Gold	Core Design	1996-10-25	1996-01-01	1996-01-01	
Shibasu 1-2-3 Destiny!			Unreleased	Unreleased	Unreleased	
Shin Megami Tensei	Atlus	Atlus	2001-05-31	Unreleased	Unreleased	
Shin Megami Tensei II	Atlus	Atlus	2002-03-20	Unreleased	Unreleased	
Shin Megami Tensei if...	Atlus	Atlus	2002-12-26	Unreleased	Unreleased	
Shin Sedai Robot Senki: Brave Saga			1998-12-17	Unreleased	Unreleased	
Shin Super Robot Taisen			1996-12-27	Unreleased	Unreleased	
Shinseiki Evangelion: Eva to Yukai na Nakama Tachi			1990-01-01	Unreleased	Unreleased	
Shinseiki Evangelion: Koutetsu no Girlfriend			1990-01-01	Unreleased	Unreleased	
Shinseiki Evangelion: Koutetsu no Girlfriend 2			1990-01-01	Unreleased	Unreleased	
Shinseiki GPX: Cyber Formula			1999-03-18	Unreleased	Unreleased	
Shinsetsu Samurai Spirits Bushido Retsuden	SNK|Asastsu|Fuji Television	SNK	1997-06-27	Unreleased	Unreleased	
Shipwreckers!	Psygnosis	Psygnosis	Unreleased	Unreleased	1997-10-31	
Shiritsu Justice Gakuen: Nekketsu Seisyun Nikki 2	Capcom	Capcom	Unreleased	Unreleased	Unreleased	
Shockwave Assault	Apple Advanced Technology Group	Crystal Dynamics	Unreleased	Unreleased	1995-12-05	
Shooter: Space Shot	A1 Games	Agetec	Unreleased	Unreleased	2001-01-01	
Shooter: Starfighter Sanvein	A1 games	Success	2000-03-30	2000-09-01	2001-02-28	
Short Fuses			Unreleased	Unreleased	Unreleased	
Shrek Treasure Hunt	The Code Monkeys	TDK Interactive	Unreleased	2002-11-29	2002-10-18	
Shutokou Battle Gaiden: Super Technic Challenge			1996-12-20	Unreleased	Unreleased	
Shutokou Battle R			1997-04-25	Unreleased	Unreleased	
Side By Side Challenge			Unreleased	Unreleased	Unreleased	
Side Pocket 3	Data East	Data East	1998-04-16	Unreleased	Unreleased	
Sidewinder 2			Unreleased	Unreleased	Unreleased	
Silent Bomber	CyberConnect2	Bandai	1999-10-28	2000-07-14	2000-02-29	
Silent Hill	Konami	Konami	Unreleased	Unreleased	1999-01-31	
Silent Iron			Unreleased	2004-01-01	Unreleased	
Silhouette Mirage	Treasure	Working Designs	1998-07-23	Unreleased	2000-01-05	
SilverLoad	Millennium Interactive	Vic Tokai	Unreleased	Unreleased	1996-05-31	
SimCity 2000	Maxis	EA Games	1996-12-20	1996-11-01	1996-07-06	
Sim Theme Park	Climax Group	SCEA	Unreleased	Unreleased	1999-10-24	
Simple 1500 Series Vol. 1: The Mahjong	Chatnoir	Culture Publishers	1998-10-22	Unreleased	Unreleased	
Simple 1500 Series Vol. 2: The Shōgi	Alpha-Beta	Culture Publishers	1998-10-22	Unreleased	Unreleased	
Simple 1500 Series Vol. 3: The Gomoku Narabe	Itsui	Culture Publishers	1998-10-22	Unreleased	Unreleased	
Simple 1500 Series Vol. 4: The Reversi	Itsui	Culture Publishers	1998-10-22	Unreleased	Unreleased	
Simple 1500 Series Vol. 5: The Igo	Ken Chen|Chat Noir	Culture Publishers	1998-11-19	Unreleased	Unreleased	
Simple 1500 Series Vol. 6: The Hanafuda	Success|Chat Noir	Culture Publishers	1998-11-19	Unreleased	Unreleased	
Simple 1500 Series Vol. 7: The Card	Success|Chat Noir	Culture Publishers	1998-11-19	Unreleased	Unreleased	
Simple 1500 Series Vol. 8: The Solitaire	F2 Company	Culture Publishers	1998-11-19	Unreleased	Unreleased	
Simple 1500 Series Vol. 9: The Chess	Success|Chat Noir	Culture Publishers	1999-04-22	Unreleased	Unreleased	
Simple 1500 Series Vol. 10: The Billiard JP|Billiards NA	Argent|Success	Culture Publishers JP|Agetec NA	1999-04-22	Unreleased	2001-05-14	
Simple 1500 Series Vol. 11: The Pinball 3D	Nekogumi	Culture Publishers	1999-07-22	Unreleased	Unreleased	
Simple 1500 Series Vol. 12: The Quiz	Tears	Culture Publishers	1999-08-12	Unreleased	Unreleased	
Simple 1500 Series Vol. 13: The Race JP|Racing NA|Pro Racer PAL	Tamsoft	Culture Publishers JP|Midas Interactive Entertainment PAL|Agetec US	1999-07-22	2004-02-27	1999-12-10	
Simple 1500 Series Vol. 14: The Block Kuzushi	Marvelous	Culture Publishers	1999-08-12	Unreleased	Unreleased	
Simple 1500 Series Vol. 15: The Pachinko	Craftman (video game developer)	Culture Publishers	1999-10-07	Unreleased	Unreleased	
Simple 1500 Series Vol. 16: The Pachi-Slot	D3 Publisher	D3 Publisher	1999-11-19	Unreleased	Unreleased	
Simple 1500 Series Vol. 17: The Bike Race	NCS	D3 Publisher	1999-09-30	Unreleased	Unreleased	
Simple 1500 Series Vol. 18: The Bowling JP|Bowling NA	Tamsoft	D3 Publisher JP|Agetec NA	1999-11-18	Unreleased	2001-05-14	
Simple 1500 Series Vol. 19: The Sugoroku	Amedio	D3 Publisher	1999-11-18	Unreleased	Unreleased	
Simple 1500 Series Vol. 21: The Yakyuu	E's	D3 Publisher	2000-10-05	Unreleased	Unreleased	
Simple 1500 Series Vol. 22: The Pro Wrestling	Yuke's	D3 Publisher	1999-12-09	Unreleased	Unreleased	
Simple 1500 Series Vol. 23: The Gateball	Amedio	D3 Publisher	1999-12-09	Unreleased	Unreleased	
Simple 1500 Series Vol. 24: The Gun Shooting	Nekogumi	D3 Publisher	1999-12-09	Unreleased	Unreleased	
Simple 1500 Series Vol. 25: The Keiba	Nekogumi	D3 Publisher	2000-03-30	Unreleased	Unreleased	
Simple 1500 Series Vol. 26: The Tennis JP|All Star Tennis PAL|Tennis NA	Nekogumi	D3 Publisher JP|Midas Interactive PAL|Agetec NA	2000-02-24	2003-04-25	2001-06-28	
Simple 1500 Series Vol. 27: The Snowboard JP|Snowboarding' NA|Snowboard Racer PAL	Atelier Double	D3 Publisher JP|Midas Interactive PAL|A1 Games NA	2000-02-24	2003-05-02	2000-12-10	
Simple 1500 Series Vol. 36: The Renai Simulation: Natsuiro Celebration	HuneX	D3 Publisher	2000-08-24	Unreleased	Unreleased	
The Simpsons Wrestling	Big Ape Productions	Activision	Unreleased	2001-03-22	2001-04-12	
Sitting Ducks	Code Monkeys	LSP	Unreleased	2004-04-16	Unreleased	
Skeleton Warriors	Neversoft Entertainment	Playmates NA|Virgin Interactive PAL	Unreleased	1996-09-01	1996-05-22	
Ski Air Mix	KID	KID	1998-07-23	2000-09-01	Unreleased	
Skullmonkeys|Klaymen Klaymen 2: Skullmonkey no Gyakushuu JP	The Neverhood, Inc.	DreamWorks Interactive NA|Electronic Arts PAL|River Hill Software JP	1998-08-13	1998-02-20	1998-01-31	
Sky Sports Football Quiz	Hothouse Creations Ltd.	THQ Inc.	Unreleased	Unreleased	2001-12-07	
Sky Sports Football Quiz Season 02	Hothouse Creations Ltd.	THQ Inc.	Unreleased	2002-06-07	Unreleased	
Skydiving Extreme	Natsume	Metro	2001-01-11	Unreleased	2001-08-09	
Slam 'n' Jam 96 featuring Magic & Kareem	Left Field Productions	Crystal Dynamics	Unreleased	Unreleased	1996-01-01	
Slam 'n' Jam 98			Unreleased	Unreleased	Unreleased	
Slamscape	Viacom New Media	Viacom New Media	Unreleased	Unreleased	1996-09-30	
Slap Happy Rhythm Busters			2000-06-29	Unreleased	Unreleased	
Slayers Royal	Japan Art Media	ESP Software	1998-04-23	Unreleased	Unreleased	
Slayers Royal 2	Kadokawa Shoten	ESP Software	1999-07-01	Unreleased	Unreleased	
Slayers Wonderful		Banpresto	1998-10-22	Unreleased	Unreleased	
Sled Storm	EA Canada	Electronic Arts	Unreleased	1999-08-11	1999-07-31	
Slots	Coresoft	Activision	Unreleased	Unreleased	2003-06-27	
Small Soldiers	DreamWorks Interactive	Electronic Arts	Unreleased	Unreleased	1998-09-30	
Smash Court JP|Namco Tennis Smash Court PAL	Namco	Namco JP|SCEE PAL	1999-09-06	1999-12-15	Unreleased	
Smash Court 2 JP|Anna Kournikova's Smash Court Tennis PAL	Namco	SCEE	1998-11-12	1999-06-01	Unreleased	
Smash Court 3	Namco	Namco	2000-11-09	Unreleased	Unreleased	
The Smurfs	Doki Denki	Infogrames	Unreleased	Unreleased	1999-12-14	
Smurf Racer!|3, 2, 1... Smurf! My First Racing Game PAL	Artificial Mind & Movement	Infogrames	Unreleased	2001-01-01	2001-04-01	
Snatcher	Konami	Konami	1996-02-12	Unreleased	Unreleased	
Snobow Kids Plus			Unreleased	Unreleased	Unreleased	
Sno-Cross Championship Racing	UDS	Crave	Unreleased	Unreleased	2000-08-22	
Snow Break JP|Extreme Snow Break PAL	Toka	Atlus JP|Microids PAL	1998-01-29	1998-03-10	Unreleased	
Snow Racer			Unreleased	Unreleased	Unreleased	
Soccer 97			Unreleased	Unreleased	Unreleased	
Soccer Kid			Unreleased	2003-12-13	Unreleased	
Sol Divide	Boom	XS Games	Unreleased	Unreleased	2003-03-11	
Sold Out		Shinko Music	1997-06-20	Unreleased	Unreleased	
Sonic Wings Special	Video System	Hamster Corporation JP|Phoenix Games PAL	1996-08-30	1990-01-01	Unreleased	
Sorcerer's Maze NA|Prism Land Story JP|Prism Land PAL	Dream Creators|D-cruise	XS Games NA|Hect JP|Midas Interactive PAL	1998-03-19	2001-05-31	2003-12-04	
Sotsugyou III: Wedding Bell			Unreleased	Unreleased	Unreleased	
Sotsugyou M ~Seito Kaichou no Karei naru Inbou~			1990-01-01	Unreleased	Unreleased	
Sotsugyou Vacation			Unreleased	Unreleased	Unreleased	
Soukaigi	Yuke's	Square Co.	1998-05-28	Unreleased	Unreleased	
Soul Blade|Soul Edge JP	Namco	Namco	Unreleased	Unreleased	1997-01-01	
Soul of the Samurai|Ronin Blade PAL	Konami Computer Entertainment Sapporo	Konami	1999-04-28	1999-01-01	1999-08-31	
Sound Novel Tsukūru 2 [303]	ASCII Entertainment	ASCII Entertainment	1997-09-25	Unreleased	Unreleased	
South Park	Appaloosa Interactive	Acclaim|Comedy Central	Unreleased	1999-01-01	1999-09-30	
South Park: Chef's Luv Shack	Acclaim	Acclaim, Comedy Central	Unreleased	Unreleased	1999-10-31	
South Park Rally	Tantalus Interactive	Acclaim|Comedy Central	Unreleased	1999-01-01	1999-11-30	
Soviet Strike	EA Tiburon	Electronic Arts	Unreleased	Unreleased	1996-10-31	
Space Battleship Yamato	Bandai	Bandai	1999-02-04	Unreleased	Unreleased	
Space Battleship Yamato 2			Unreleased	Unreleased	Unreleased	
Space Battleship Yamato Fan Disc Part 1			1990-01-01	Unreleased	Unreleased	
Space Battleship Yamato: Eiyuu no Kiseki			2000-09-28	Unreleased	Unreleased	
Space Battleship Yamato: Farewell Warriors of Love			1990-01-01	Unreleased	Unreleased	
Space Debris			Unreleased	Unreleased	Unreleased	
Space Griffon VF-9	Panther Software	Atlus	Unreleased	Unreleased	1995-11-25	
Space Hulk: Vengeance of the Blood Angels	Krisalis Software	Electronic Arts	Unreleased	Unreleased	1996-01-01	
Space Invaders|Space Invaders X JP	Z-Axis Ltd.	Activision	1990-01-01	Unreleased	1999-09-30	
Space Invaders - The Original Game	Taito	Taito	1997-01-01	Unreleased	Unreleased	
Space Invaders 1500	Taito	D3 Publisher	2001-01-01	Unreleased	Unreleased	
Space Invaders 2000	Taito	Taito	1998-01-01	Unreleased	Unreleased	
Space Jam	Sculptured Software	Acclaim	Unreleased	Unreleased	1996-10-31	
Space Rider			Unreleased	Unreleased	Unreleased	
Spawn: The Eternal	Sony Interactive Studios America	SCEA	1998-09-17	1998-04-01	1997-12-01	
Spec Ops: Airborne Commando	Big Grub	SCEA	Unreleased	Unreleased	2002-10-31	
Spec Ops: Covert Assault	Runecraft	SCEA	Unreleased	Unreleased	2001-06-28	
Spec Ops: Ranger Elite	Runecraft	Take-Two Interactive	Unreleased	Unreleased	2001-04-29	
Spec Ops: Stealth Patrol	Runecraft	Take-Two Interactive	Unreleased	Unreleased	2000-06-05	
Spectral Force 2			1998-10-15	Unreleased	Unreleased	
Speed Machines			Unreleased	Unreleased	Unreleased	
Speed Power Gunbike ?	Inti	SCEA	Unreleased	Unreleased	1998-03-31	
Speed Freaks|Speed Punks NA	Funcom	SCEA	Unreleased	Unreleased	2000-03-31	
Speed Racer	Graphic Research	Jaleco Entertainment	Unreleased	Unreleased	1998-02-20	
Speedball 2100	Bitmap Brothers	Take-Two Interactive	Unreleased	Unreleased	2000-10-24	
Speedster			Unreleased	Unreleased	Unreleased	
Spice World	SCEE London Studio	Psygnosis	Unreleased	1998-06-01	1998-07-31	
Spider-Man	Neversoft	Neversoft, Activision|Marvel	Unreleased	2000-09-15	2000-08-30	
Spider-Man 2: Enter Electro	Vicarious Visions	Activision	2002-10-31	2001-10-26	2001-10-19	
Spider: The Video Game	Boss Game Studios	BMG Interactive	Unreleased	Unreleased	1997-02-26	
Spin Jam	Entertainment International	Empire Interactive	Unreleased	Unreleased	2000-09-24	
SpongeBob SquarePants: SuperSponge	Climax Group	THQ	Unreleased	Unreleased	2001-09-21	
Sports Car GT	Point of View	Electronic Arts	Unreleased	Unreleased	1999-03-31	
Sports Superbike			Unreleased	Unreleased	Unreleased	
Sports Superbike 2	Interactive Entertainment	Mud Duck Productions	Unreleased	Unreleased	2002-10-06	
Spot Goes To Hollywood	Eurocom	Virgin Interactive	Unreleased	Unreleased	1996-11-30	
Spriggan: Lunar Verse	FromSoftware	FromSoftware	1999-06-17	Unreleased	Unreleased	
Spyro The Dragon [305]	Insomniac Games	Sony Computer Entertainment Inc.	Unreleased	Unreleased	1998-09-10	
Spyro 2: Ripto's Rage! [305]	Insomniac Games	Sony Computer Entertainment Inc.	Unreleased	Unreleased	1999-10-31	
Spyro: Year of the Dragon [305]	Insomniac Games	Sony Computer Entertainment Inc.	Unreleased	Unreleased	2000-10-25	
S.Q. Sound Qube			Unreleased	Unreleased	Unreleased	
Star Fighter	Krisalis Software	Acclaim	Unreleased	Unreleased	1996-01-01	
Star Gladiator Episode I: Final Crusade	Capcom	Capcom	Unreleased	Unreleased	1996-10-31	
Star Ixiom			1999-09-09	2000-01-01	Unreleased	
Star Ocean: The Second Story	Tri-Ace	Enix Corporation	1998-07-30	2000-04-12	1999-05-31	
Star Trek: Invasion	Warthog	Activision	Unreleased	Unreleased	2000-06-29	
Star Wars Episode I: Jedi Power Battles	LucasArts	LucasArts	Unreleased	2000-04-01	2000-03-31	
Star Wars Episode I: The Phantom Menace	Big Ape Productions	LucasArts	Unreleased	Unreleased	1999-08-31	
Star Wars: Dark Forces	LucasArts	LucasArts	Unreleased	Unreleased	1996-11-30	
Star Wars: Demolition	Luxoflux	LucasArts	Unreleased	2000-12-15	2000-11-12	
Star Wars: Masters of Teräs Käsi	LucasArts	LucasArts	1998-09-23	1998-03-01	1997-10-31	
Star Wars: Rebel Assault II - The Hidden Empire	LucasArts	LucasArts	Unreleased	Unreleased	1996-11-30	
Starblade Alpha	High Tech Lab Japan	Namco	1995-03-31	1996-02-01	1996-04-27	
Starwinder: The Ultimate Space Race	Mindscape	Mindscape	Unreleased	Unreleased	1996-10-31	
Steel Harbinger	Mindscape	Mindscape	Unreleased	1996-12-01	1996-09-30	
Steel Reign	Chantemar Creations	SCEA	Unreleased	Unreleased	1997-08-31	
Stickman Fighting	Gaines Plix	Gaines Plix	Unreleased	Unreleased	2001-06-14	
Stock Car Racer			Unreleased	Unreleased	Unreleased	
Stolen Song: Tomoyasu Hotei			1998-05-21	Unreleased	Unreleased	
Story Lane Theater 1	The Lightspan Partnership, Inc.	The Lightspan Partnership, Inc.	Unreleased	Unreleased	1990-01-01	
Story Lane Theater 2	The Lightspan Partnership, Inc.	The Lightspan Partnership, Inc.	Unreleased	Unreleased	1990-01-01	
Story Lane Theater 3	The Lightspan Partnership, Inc.	The Lightspan Partnership, Inc.	Unreleased	Unreleased	1990-01-01	
Story Lane Theater 4	The Lightspan Partnership, Inc.	The Lightspan Partnership, Inc.	Unreleased	Unreleased	1990-01-01	
Story Lane Theater 5	The Lightspan Partnership, Inc.	The Lightspan Partnership, Inc.	Unreleased	Unreleased	1990-01-01	
Str.at.e.s Analogy-ology!	The Lightspan Partnership, Inc.	The Lightspan Partnership, Inc.	Unreleased	Unreleased	Unreleased	
Str.at.e.s Match-A-Batch	The Lightspan Partnership, Inc.	The Lightspan Partnership, Inc.	Unreleased	Unreleased	1998-01-01	
Str.at.e.s Matchmania!	The Lightspan Partnership, Inc.	The Lightspan Partnership, Inc.	Unreleased	Unreleased	1998-01-01	
Str.at.e.s Parallel Lives!	The Lightspan Partnership, Inc.	The Lightspan Partnership, Inc.	Unreleased	Unreleased	1998-01-01	
Str.at.e.s Riddle Roundup!	The Lightspan Partnership, Inc.	The Lightspan Partnership, Inc.	Unreleased	Unreleased	1998-01-01	
Str.at.e.s Riddle Wrangler!	The Lightspan Partnership, Inc.	The Lightspan Partnership, Inc.	Unreleased	Unreleased	1998-01-01	
Str.at.e.s Title This! Title That!	The Lightspan Partnership, Inc.	The Lightspan Partnership, Inc.	Unreleased	Unreleased	1998-01-01	
Str.at.e.s Titlerama!	The Lightspan Partnership, Inc.	The Lightspan Partnership, Inc.	Unreleased	Unreleased	1998-01-01	
Straight Victory: Hoshino Kazuyoshi e no Chousen	Polygon Magic	Calsonic	1998-04-23	Unreleased	Unreleased	
Streak			Unreleased	Unreleased	Unreleased	
Streak: Hoverboard Racing	SingleTrac	GT Interactive	Unreleased	1998-01-01	1998-10-31	
Street Fighter Alpha: Warrior's Dreams|Street Fighter Zero JP	Capcom	Capcom	1995-12-22	1996-05-01	1996-02-07	
Street Fighter Alpha 2|Street Fighter Zero 2 JP	Capcom	Capcom	1996-08-09	1996-12-01	1996-09-30	
Street Fighter Alpha 3|Street Fighter Zero 3 JP	Capcom	Capcom	1998-12-23	1999-06-25	1999-04-30	
Street Fighter Collection	Capcom	Capcom	1997-10-23	1998-07-01	1997-12-16	
Street Fighter Collection 2	Capcom	Capcom	Unreleased	Unreleased	1998-10-31	
Street Fighter II Movie	Capcom	Capcom	1995-12-15	Unreleased	Unreleased	
Street Fighter EX Plus Alpha	Arika	Capcom	Unreleased	Unreleased	1997-09-30	
Street Fighter EX2 Plus	Arika	Capcom	Unreleased	Unreleased	1999-12-30	
Street Fighter: The Movie	Incredible Technologies	Acclaim	1995-08-11	1995-09-29	1995-09-09	
Street Racer	Vivid Image	Ubisoft	Unreleased	Unreleased	1996-10-31	
Street Racquetball	Highwaystar	Agetec Inc.	Unreleased	Unreleased	2003-01-07	
Street Scooters			Unreleased	Unreleased	Unreleased	
Street Sk8er	Atelier Double	Electronic Arts	Unreleased	Unreleased	1999-01-01	
Street Sk8er 2	Atelier Double	Electronic Arts	Unreleased	Unreleased	2000-02-29	
Strider 2|Strider Hiryū 2 JP	Capcom	Capcom	2000-02-24	2000-12-15	2000-07-29	
Strike Force Hydra			Unreleased	2003-05-23	Unreleased	
Strike Point	MotiveTime, Ltd.	Technos	Unreleased	Unreleased	1996-09-01	
Striker '96	Rage Software	Acclaim	Unreleased	Unreleased	1996-01-01	
Striker Pro 2000	Rage Software	Infogrames	Unreleased	Unreleased	2000-05-31	
Strikers 1945	Psiyko	Success	Unreleased	Unreleased	2001-03-27	
Strikers 1945 II	Psikyo	Psikyo	Unreleased	Unreleased	Unreleased	
Stuart Little 2	Magenta Software	SCEA	Unreleased	Unreleased	2002-07-17	
Submarine Commander			Unreleased	Unreleased	Unreleased	
Suchie-Pai Adventure: Doki Doki Nightmare			Unreleased	Unreleased	Unreleased	
Suikoden	Konami Computer Entertainment Tokyo	Konami	1995-12-15	1997-03-01	1996-11-01	
Suikoden II	Konami	Konami	Unreleased	Unreleased	1999-08-31	
Suiko Enbu: Outlaws of the Lost Dynasty			1996-01-26	Unreleased	Unreleased	
Gensō Suikogaiden Volume 1: Swordsman of Harmonia	Konami Computer Entertainment Tokyo	Konami	2000-09-21	Unreleased	Unreleased	
Gensō Suikogaiden Volume 2: Duel at Crystal Valley	Konami Computer Entertainment Tokyo	Konami	2001-03-22	Unreleased	Unreleased	
Summon Night	Flight-Plan	Banpresto	2000-01-06	Unreleased	Unreleased	
Summon Night 2	Flight-Plan	Banpresto	2001-08-02	Unreleased	Unreleased	
Super Adventure Rockman	Kouyousha	Capcom	1998-06-25	Unreleased	Unreleased	
Super Bubble Pop	Zombie Studios|Runecraft	Jaleco	Unreleased	Unreleased	2002-12-25	
Super Dropzone			Unreleased	1990-01-01	Unreleased	
Super GALS! Kotobuki Ran Special → Coolmen Get you Gals Party →	Konami	Konami	2002-08-08	Unreleased	Unreleased	
Super Hero Sakusen	Banpresto	Banpresto	1999-01-28	Unreleased	Unreleased	
Super Hero Sakusen: Diedal's Ambition	Banpresto	Banpresto	2000-11-22	Unreleased	Unreleased	
Super Live Stadium			1998-01-01	Unreleased	Unreleased	
Super Pang Collection			Unreleased	Unreleased	Unreleased	
Super Puzzle Fighter II Turbo|Super Puzzle Fighter II X JP	Capcom	Capcom	Unreleased	Unreleased	1996-11-30	
Super Robot Wars Alpha	Banpresto	Banpresto	2000-05-25	Unreleased	Unreleased	
Super Robot Wars Alpha Gaiden	Banpresto	Banpresto	2001-05-29	Unreleased	Unreleased	
Super Robot Wars Complete Box			1999-06-10	Unreleased	Unreleased	
Super Shot Soccer	Tecmo	Tecmo	Unreleased	Unreleased	2002-06-14	
Super Slammin'Dodgeball			Unreleased	Unreleased	Unreleased	
Super Tokusatsu Taisen 2001			2001-09-06	Unreleased	Unreleased	
Superbike 2000	Milestone S.r.l.	EA Sports	Unreleased	Unreleased	2000-02-29	
SuperCross 2000	MBL Research	EA Sports	Unreleased	Unreleased	1999-10-31	
SuperCross	Page 44 Studios	EA Sports	Unreleased	Unreleased	2000-11-21	
SuperCross Circuit	Idol Minds	989 Sports	Unreleased	Unreleased	1999-10-31	
Supersonic Racers			Unreleased	Unreleased	Unreleased	
Superstar Dance Club: #1 Hits!!!	Warashi	XS Games	Unreleased	Unreleased	2002-12-01	
Surf Riders	ACOT	Ubisoft	Unreleased	Unreleased	2000-08-01	
Susume! Taisen Puzzle Dama			1996-03-01	Unreleased	Unreleased	
Suzuki Bakuhatsu	SOL	Enix	2000-07-06	Unreleased	Unreleased	
Sven Goran Eriksson's World Manager			Unreleased	Unreleased	Unreleased	
Sven Goran Eriksson's World Cup Challenge			Unreleased	Unreleased	Unreleased	
Swagman	Core Design	Eidos Interactive	Unreleased	Unreleased	1997-01-01	
Swing			Unreleased	Unreleased	Unreleased	
The Sword of Camelot			Unreleased	Unreleased	Unreleased	
Sydney 2000	Attention To Detail	Eidos Interactive	Unreleased	Unreleased	2000-07-31	
Syndicate Wars	Bullfrog Productions	Electronic Arts	Unreleased	1997-07-31	1997-07-31	
Syphon Filter	989 Studios	SCEA	1999-08-12	1999-07-09	1999-01-31	
Syphon Filter 2	989 Studios	SCEA	Unreleased	2000-01-01	2000-02-29	
Syphon Filter 3	989 Studios	SCEA	Unreleased	2001-11-30	2001-11-05	
T'ai Fu: Wrath of the Tiger	DreamWorks Interactive	Activision	Unreleased	1990-01-01	1999-02-28	
T.R.A.G.|Hard Edge JP,PAL	SunSoft	SunSoft	1998-12-03	1999-05-20	1999-03-31	
Tactics Ogre	Kuusou Kagaku	Atlus	Unreleased	Unreleased	1998-01-01	
Tail Concerto	CyberConnect2	Atlus	Unreleased	Unreleased	1999-08-31	
Tail of the Sun	Artdink	SCEA	1996-04-26	Unreleased	1997-04-30	
Tales of Destiny	Namco	Namco	1997-12-23	Unreleased	1998-09-30	
Tales of Eternia|Tales of Destiny II JP	Wolf Team	Namco	2000-11-30	Unreleased	2001-09-10	
Tales of Fandom Vol. 1			2002-01-31	Unreleased	Unreleased	
Tales of Phantasia	Wolf Team	Namco	1998-12-23	Unreleased	Unreleased	
Tall Infinity	Open Sesame	Agetec Inc.	Unreleased	Unreleased	2003-08-20	
Tank Racer	Glass Ghost|Simis	Grolier Interactive	Unreleased	1999-03-26	Unreleased	
Tatsunoko Fight	Electronics Application	Takara	2000-10-05	Unreleased	Unreleased	
Taxi 2	DC Studios	Ubisoft	Unreleased	2002-01-01	Unreleased	
Team Buddies	SCEE London Studio	Midway	Unreleased	2000-09-15	2000-09-18	
Team LOSI RC Racer	Gremlin Interactive	Fox Interactive	Unreleased	Unreleased	1998-10-01	
Tear Ring Saga	Tirnanog	Enterbrain	2001-05-24	Unreleased	Unreleased	
Technomage	Sunflowers Interactive	Sunflowers Interactive	Unreleased	2001-06-29	Unreleased	
Tecmo Stackers	Tecmo	Tecmo	Unreleased	Unreleased	1997-09-01	
Tecmo Super Bowl	Tecmo	Tecmo	Unreleased	Unreleased	1996-08-01	
Tecmo World Golf	Tecmo	Tecmo	Unreleased	Unreleased	1996-06-01	
Tekken	Namco	Namco	Unreleased	Unreleased	1995-11-08	
Tekken 2	Namco	Namco	Unreleased	Unreleased	1996-08-25	
Tekken 3	Namco	Namco	Unreleased	Unreleased	1998-04-29	
Tempest X3	Atari	Atari	Unreleased	Unreleased	1996-11-30	
Tenchi Muyo! Toukou Muyou			1990-01-01	Unreleased	Unreleased	
Tenchu: Stealth Assassins	Acquire	Activision|SCEI JP	1998-02-26	1998-01-01	1998-08-31	
Tenchu 2: Birth of the Stealth Assassins	Acquire	Activision	2000-11-30	2000-09-08	2000-08-07	
Tenchu: Shinobi Hyakusen	Acquire|Various	SCEI	1999-11-11	Unreleased	Unreleased	
Tenchu: Shinobi Gaisen	Acquire	SCEI	1999-02-24	Unreleased	Unreleased	
Tenku no Escaflowne		Bandai	1997-09-25	Unreleased	Unreleased	
Tennis Arena	Smartdog	Ubisoft	1998-03-19	1997-11-01	1998-02-28	
Ten Pin Alley	Adrenlin Entertainment	SCEA	Unreleased	Unreleased	1996-11-30	
Tentama			2001-01-25	Unreleased	Unreleased	
Terracon	Picture House	SCEE	Unreleased	2000-08-25	Unreleased	
Test Drive 4	Pitbull Syndicate	Accolade	Unreleased	Unreleased	1997-09-30	
Test Drive 4X4			Unreleased	1999-01-01	Unreleased	
Test Drive 5	Pitbull Syndicate	Accolade	Unreleased	Unreleased	1998-09-30	
Test Drive 6	Pitbull Syndicate	Infogrames	Unreleased	Unreleased	1999-10-31	
Test Drive Le Mans NA|Le Mans 24 Hours PAL	Eutechnyx	Infogrames	Unreleased	2000-01-01	2000-03-31	
Test Drive Off-Road	Accolade	Accolade	Unreleased	Unreleased	1997-02-28	
Test Drive Off-Road 2	Accolade	Accolade	Unreleased	Unreleased	1998-09-30	
Test Drive Off-Road 3	Accolade	Infogrames	Unreleased	2000-04-19	1999-10-31	
Test Drive Rally			Unreleased	Unreleased	Unreleased	
Tetris Plus	Natsume	Jaleco Entertainment	1996-09-06	1997-10-01	1996-10-18	
That's Pon!	Shoeisha		1995-05-12	Unreleased	Unreleased	
Theme Hospital	Bullfrog Productions, Ltd.	Electronic Arts, Inc.	1998-06-18	1998-02-01	1998-04-14	
Theme Park	Bullfrog Productions, Ltd.	Electronic Arts, Inc.	1995-12-29	1995-10-30	1996-01-01	
Theme Park World	Bullfrog Productions, Ltd.	Electronic Arts, Inc.	Unreleased	Unreleased	2000-03-22	
Sakigaki! Otoko Juku: The Dochibouru	Access	D3 Publisher	Unreleased	Unreleased	Unreleased	
Kagaru Ninja Tai Gatchaman: The Shooting	Warashi	D3 Publisher	2002-06-27	Unreleased	Unreleased	
This Is Football	SCE London Studio	SCEE	Unreleased	1999-01-01	Unreleased	
